date,w_long,w_short,ew_long,ew_short,ew_mkt_neutral,vw_long,vw_short,vw_mkt_neutral,sp500
1989-02-01,3.0,3.3341577200468375,-0.011102810059674085,-0.0029527431062888352,-0.04315334140217025,-0.019994265007188726,0.01994000814444671,0.006500337071037636,-0.0162
1989-03-01,3.0,3.4050604520531786,0.010644031730480492,-0.02379661103244871,-0.04909680392804199,0.014341762130146471,-0.00878148845114418,0.013123787355286645,0.022400000000000003
1989-04-01,3.0,3.405432113682302,0.05508709388319403,-0.03917991568800062,0.031836738554299776,0.05689384884851049,-0.042773123795398924,0.025020577170171338,0.050199999999999995
1989-05-01,3.0,3.281657934352154,0.038135182202095164,-0.05365875505609438,-0.06168413267100539,0.0364391503719211,-0.049469289022056,-0.053023833710226675,0.0407
1989-06-01,3.0,3.023835535723139,-0.012685605022124947,0.01078990488080308,-0.005429917260729958,-0.022224004078000962,0.005599235858518427,-0.04974084387211961,-0.0062000000000000015
1989-07-01,3.0,3.045208836258241,0.0715426714811474,-0.05547677597030997,0.04568964605153544,0.09363460129810876,-0.09730984886214301,-0.01542500771562555,0.07880000000000001
1989-08-01,3.0,3.2041298257167217,0.03375039949940401,-0.030636605078761932,0.0030875384066465367,0.020635463104858445,-0.01404331573025452,0.016909782531310015,0.0217
1989-09-01,3.0,3.1371327746514264,0.006096554074902088,0.01786531542078592,0.0743355287607393,0.01074477230277542,0.0034322793918821876,0.04300183308036054,-0.0010999999999999994
1989-10-01,3.0,2.8653031121976413,-0.02574784108903259,0.06388049626490101,0.1057934614894529,-0.005979069579203894,0.029732161563907986,0.06725444632381697,-0.029699999999999997
1989-11-01,3.0,2.65754553743882,0.00942073329584673,-0.00010732675262261182,0.027976974155060168,0.02335431233085775,-0.021829898934091665,0.012048986497537495,0.0173
1989-12-01,3.0,2.574319767067142,0.0198929710208904,0.006917719040066004,0.07748733393052985,0.011532458993650163,-0.003106292519074552,0.026600786746804078,0.0179
1990-01-01,3.0,2.865917009885595,-0.08581339183263481,0.10085474303457886,0.03160114809253589,-0.06615498189233576,0.0807254828846293,0.0328875888532803,-0.0723
